date,lambda_t,lambda_w,E_Rw,mean_K,whale_threshold
2024-01-01,0.002504558781006879,1.92876827315062e-06,0.3320938553699994,6.25,6.885343032630001
2024-01-02,0.002341769202773104,1.9299482812459594e-06,0.3471462012800016,6.25,6.628903560719999
2024-01-03,0.002230277610504341,1.929044347572124e-06,0.34355311379003395,6.25,6.632496648209966
2024-01-04,0.0021081947266615624,1.928517567830784e-06,0.4036945112000021,6.25,6.511481686799998
2024-01-05,0.001977686363871474,1.9300086232785288e-06,0.41829678224002365,6.25,5.6720036477599765
2024-01-06,0.0018474358687415034,1.9282870062380085e-06,0.27126946212005587,6.25,4.506446415879944
2024-01-07,0.0017516398016019926,1.9302045746620503e-06,0.26721595476002025,6.25,4.51049992323998
2024-01-08,0.001700710750431778,1.928010405086554e-06,0.26721595476002025,6.25,4.51049992323998
2024-01-09,0.0016663193395314536,1.9285555042131224e-06,0.2647548967200454,6.25,4.512960981279955
2024-01-10,0.001624030045226117,1.9279613389768617e-06,0.2663473460399747,6.25,4.511368531960025
2024-01-11,0.0015848040810274584,1.92887616344988e-06,0.272427607080029,6.25,4.505288270919971
2024-01-12,0.0015019833547138333,1.928255773101372e-06,0.2719039333200266,6.25,4.0047721946799735
2024-01-13,0.0014355226089732534,1.928952065926952e-06,0.2758392338199691,6.25,4.000836894180031
2024-01-14,0.0013743182363814607,1.927510939588338e-06,0.27654758790997036,6.25,4.00012854009003
2024-01-15,0.0012949147021208136,1.9289944846189697e-06,0.3068244378200067,6.25,3.9698516901799934
2024-01-16,0.0011776285267947528,1.9281933098633644e-06,0.47746268190001784,6.25,3.269112388099982
2024-01-17,0.0011127398153071668,1.929390482393926e-06,0.5677630142599969,6.25,3.151907917740003
2024-01-18,0.0010795494728651246,1.928932717669448e-06,0.5727822506799817,6.25,3.1468886813200183
2024-01-19,0.001048904822130772,1.9296905663989155e-06,0.5796266639799236,6.25,3.1400442680200764
2024-01-20,0.0010679517380725336,1.929558011582751e-06,0.36493901964006953,6.25,5.63599969435993
2024-01-21,0.001060582868933007,1.929106865961411e-06,0.3683911817600343,6.25,5.632547532239966
2024-01-22,0.0010511867140063523,1.927773275356195e-06,0.3716402755199571,6.25,5.629298438480043
2024-01-23,0.0010428073310629919,1.9288129159485054e-06,0.38219983024007737,6.25,5.618738883759923
2024-01-24,0.0010227944991532583,1.928796546682663e-06,0.3897133595599456,6.25,5.611225354440054
2024-01-25,0.0010001517796492789,1.929117286086936e-06,0.3868704025199204,6.25,5.61406831148008
2024-01-26,0.000988455808031644,1.92838443037838e-06,0.3935716583999927,6.25,5.607367055600007
2024-01-27,0.0009651775558179595,1.9281814125625645e-06,0.3893072228400472,6.25,5.611631491159953
2024-01-28,0.0009351773283844969,1.9291202632863334e-06,0.38301210368005806,6.25,5.617926610319942
2024-01-29,0.0009118841117842766,1.9284721949021993e-06,0.3870734708799615,6.25,5.613865243120038
2024-01-30,0.0008455306761913723,1.9281301071346213e-06,0.3884949494000665,6.25,5.612443764599933
2024-01-31,0.0008212422459035298,1.9283405511120164e-06,0.3935716583999927,6.25,5.607367055600007
2024-02-01,0.000787778626651993,1.9273653108936614e-06,0.40006984592002387,6.25,5.600868868079976
2024-02-02,0.0007603121302598318,1.9278788243332237e-06,0.4027097346000071,6.25,5.598228979399993
2024-02-03,0.0007247699590093134,1.928066165060973e-06,0.40433428147996936,6.25,5.596604432520031
2024-02-04,0.0007013337156797427,1.926670162930789e-06,0.4021005295200684,6.25,5.5988381844799315
2024-02-05,0.0006852511561915794,1.928072112981941e-06,0.4006790509999634,6.25,5.6002596630000365
2024-02-06,0.0006694672780627285,1.9267896986115553e-06,0.40088211936000456,6.25,5.600056594639995
2024-02-07,0.0006532299767038201,1.929450044994775e-06,0.39641461544001794,6.25,5.604524098559982
2024-02-08,0.0006300602140908126,1.929719611740414e-06,0.39255631659997087,6.25,5.608382397400029
2024-02-09,0.0006181558504237772,1.928363606070797e-06,0.3943839318399734,6.25,5.606554782160027
2024-02-10,0.0006032809237445012,1.927873620943802e-06,0.38544892400000014,6.25,5.61548979
2024-02-11,0.0005915553649873355,1.9285071541829898e-06,0.3878857443199422,6.25,5.613052969680058
2024-02-12,0.0005814095276422257,1.9281955406236093e-06,0.3801691466400328,6.25,5.620769567359967
2024-02-13,0.0005788786109078842,1.929369636352411e-06,0.3738740274800428,6.25,5.627064686519957
2024-02-14,0.0005798513322592395,1.927201876323747e-06,0.3724525489599378,6.25,5.628486165040062
2024-02-15,0.0005894467186628431,1.9287846419365615e-06,0.37021879700003685,6.25,5.630719916999963
